,SentenceId,Sentence,Indonesia,Sentiment,preprocessing_result
0,8082,"Weighted down with slow , uninvolving storytelling and flat acting .","Tertimbang dengan lambat, omong kosong bercerita dan akting datar.",0,timbang lambat omong kosong cerita akting datar
1,7560,"A classy , sprightly spin on film .",Spin berkelas dan sigap di film.,1,spin kelas sigap film
2,3831,"Lazy filmmaking , with the director taking a hands-off approach when he should have shaped the story to show us why it 's compelling .","Pembuatan film malas, dengan sutradara mengambil pendekatan hands-off saat seharusnya dia membentuk cerita untuk menunjukkan pada kita mengapa ini menarik.",0,buat film malas sutradara ambil dekat handsoff harus bentuk cerita tunjuk kita ini tarik
3,5614,It is n't quite one of the worst movies of the year .,Ini bukan salah satu film terburuk tahun ini.,0,bukan salah satu film buruk tahun
4,7549,"Features nonsensical and laughable plotting , wooden performances , ineptly directed action sequences and some of the worst dialogue in recent memory .","Fitur plot yang tidak masuk akal dan menggelikan, pertunjukan kayu, urutan tindakan yang tidak benar, dan beberapa dialog terburuk dalam ingatan terakhir.",0,fitur plot tidak masuk akal geli tunjuk kayu urut tindak tidak benar beberapa dialog buruk ingat akhir
5,322,It appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept .,Tampaknya dibuat oleh orang-orang yang gagasan logika atau kohesi naratif adalah konsep yang sama sekali asing.,0,tampak buat orangorang gagas logika kohesi naratif konsep sama sekali asing
6,4284,"Call it magic realism or surrealism , but Miss Wonton floats beyond reality with a certain degree of wit and dignity .","Sebut itu sihir realisme atau surealisme, tapi Miss Wonton mengapung melampaui kenyataan dengan tingkat kecerdasan dan martabat tertentu.",1,sebut sihir realisme surealisme miss wonton apung lampau nyata tingkat cerdas martabat
7,95,Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company .,Hampir tidak layak disebutkan selain melaporkan jumlah tumbleweeds yang bertiup melalui bioskop kosong yang menghiasi perusahaannya.,0,hampir layak sebut lapor jumlah tumbleweeds tiup lalu bioskop kosong hias usaha
8,7979,The thought of watching this film with an audience full of teenagers fixating on its body humour and reinforcement of stereotypes -LRB- of which they 'll get plenty -RRB- fills me with revulsion .,Gagasan menonton film ini dengan penonton yang penuh dengan remaja yang memusatkan perhatian pada humor tubuhnya dan penguatan stereotip -LRB-yang akan mereka dapatkan banyak -RRB-memenuhi saya dengan jijik.,0,gagas tonton film tonton penuh dengan remaja pusat perhati humor tubuh kuat stereotip lrbyang mereka banyak rrbmemenuhi dengan jijik
9,3073,A refreshing change from the usual whoopee-cushion effort aimed at the youth market .,Sebuah perubahan yang menyegarkan dari usaha sapaan biasa yang ditujukan untuk pasar anak muda.,1,buah ubah segar usaha sapa biasa tuju pasar anak muda
10,297,"While maintaining the appearance of clinical objectivity , this sad , occasionally horrifying but often inspiring film is among Wiseman 's warmest .","Sambil mempertahankan penampilan objektivitas klinis, film sesekali yang mengerikan namun sering menginspirasi ini merupakan salah satu prediktor Wiseman.",1,tahan tampil objektivitas klinis film sekal keri sering inspirasi rupa salah satu prediktor wiseman
11,4143,It 's the kind of effectively creepy-scary thriller that has you fixating on a far corner of the screen at times because your nerves just ca n't take it any more .,Ini adalah jenis thriller menakutkan menyeramkan yang menakutkan yang membuat Anda kadang-kadang terpaku di ujung layar karena saraf Anda tidak tahan lagi.,1,adalah jenis thriller takut seram takut buat kadangkadang terpa ujung layar saraf tidak tahan
12,7915,Such a bad movie that its luckiest viewers will be seated next to one of those ignorant pinheads who talk throughout the show .,Seperti film buruk yang pemirsa paling beruntung akan duduk di samping salah satu pinheads bodoh yang berbicara di seluruh pertunjukan.,0,film buruk pirsa paling untung duduk samping salah satu pinheads bodoh bicara seluruh tunjuk
13,1395,This thing is virtually unwatchable .,Hal ini hampir tidak bisa ditebak.,0,ini hampir bisa tebak
14,4125,"In that setting , their struggle is simply too ludicrous and borderline insulting .","Dalam situasi itu, perjuangan mereka terlalu menggelikan dan membatasi penghinaan.",0,situasi juang terlalu geli batas hina
15,2212,"Rich in shadowy metaphor and as sharp as a samurai sword , Jiang Wen 's Devils on the Doorstep is a wartime farce in the alternately comic and gut-wrenching style of Joseph Heller or Kurt Vonnegut .","Kaya dengan metafora bayangan dan setajam pedang samurai, Iblis Jiang Wen di ambang pintu adalah lelucon masa perang dengan gaya komik dan norak komik Joseph Heller atau Kurt Vonnegut.",1,kaya metafora bayang tajam pedang samurai iblis jiang wen ambang pintu lelucon masa perang gaya komik norak komik joseph heller kurt vonnegut
16,6524,"If anything , the film is doing something of a public service -- shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans .","Jika ada, film ini melakukan sesuatu dari layanan publik - menyoroti sekelompok musisi yang sangat berbakat yang mungkin tidak diperhatikan dan kurang mendapat penghargaan dari penggemar musik.",1,ada film laku layan publik sorot kelompok musisi sangat bakat mungkin perhati kurang harga dari gemar musik
17,1674,"The movie 's plot is almost entirely witless and inane , carrying every gag two or three times beyond its limit to sustain a laugh .","Plot film hampir seluruhnya witless dan inane, membawa setiap gag dua atau tiga kali di luar batas untuk mempertahankan tawa.",0,plot film hampir seluruh witless inane bawa tiap gag atau tiga kali luar batas tahan tawa
18,6018,One of the most exciting action films to come out of China in recent years .,Salah satu film aksi paling seru untuk keluar dari China dalam beberapa tahun terakhir.,1,salah satu film aksi paling seru keluar china beberapa tahun akhir
